Senegal,0.131,0.007,16789215.0
Serbia,0.405,0.391,6907817.0
Seychelles,0.34,0.064,120299.0
Sierra Leone,0.205,0.064,7912558.0
Singapore,0.28,0.05,5620150.0
Slovakia,0.374,0.256,5455028.0
Slovenia,0.244,0.196,2102419.0
Solomon Islands,0.538,0.192,744507.0
South Africa,0.34,0.065,60562374.0
South Korea,0.357,0.059,51858480.0
Spain,0.286,0.267,47679482.0
Sri Lanka,0.414,0.026,22561807.0
Sweden,0.298,0.182,10353680.0
Switzerland,0.281,0.229,8640582.0
Tanzania,0.14,0.034,60972801.0
Thailand,0.413,0.029,71641484.0
Togo,0.123,0.012,8669722.0
Tonga,0.467,0.153,105719.0
Tunisia,0.472,0.02,11974058.0
Turkey,0.421,0.192,86091691.0
Turkmenistan,0.106,0.004,6949915.0
Tuvalu,0.498,0.213,10423.0
Uganda,0.13,0.037,44457149.0
Ukraine,0.4,0.115,44680009.0
United Kingdom,0.173,0.135,67351860.0
United States,0.284,0.175,339436157.0
Uruguay,0.244,0.185,3398967.0
Uzbekistan,0.34,0.011,33586372.0
Vanuatu,0.33,0.026,298868.0
Vietnam,0.474,0.022,98079196.0
Yemen,0.325,0.081,36134868.0
Zambia,0.251,0.037,19059395.0
Zimbabwe,0.218,0.015,15526888.0
European Union (27),0.293,0.235,447777527.0
High-income countries,0.2761,0.1734,1245004614.0
Low-income countries,0.2101,0.0387,679560815.0
Lower-middle-income countries,0.3769,0.0937,3141910276.0
Upper-middle-income countries,0.4387,0.0477,2817793595.0
World,0.3734,0.0869,7887001284.0
