Country,1990,2021,Absolute Change,Relative Change,1990.1,2021.0.1,Absolute Change.1,Relative Change.1,1990.2,2021.0.2,Absolute Change.2,Relative Change.2,Smoking_1990,Smoking_2021,Change,Percent_Change,Metric1,Metric2,Population,Lung_Cancer_1990,Lung_Cancer_2021,COPD_1990,COPD_2021,Cardiovascular_Diseases_1990,Cardiovascular_Diseases_2021,Stroke_1990,Stroke_2021,Oral_Cancers_1990,Oral_Cancers_2021,Year,Gender,Current_Smokers_Percentage,Former_Smokers_Percentage,Current_Smokers_Millions,Former_Smokers_Millions,Region,Type,Total Change,Due to Ageing,Due to Prevalence Changes,Due to Population Growth
Denmark,21.0,5.3,-15.7,-0.75,1680.4,779.2,-901.2,-0.54,478.4,152.8,-325.6,-0.68,180.3,71.0,-109.3,-0.61,0.178,0.171,5831530.0,6.520064225776974,-5.3573877871198805,14.208465142411724,4.03084946661382,32.97601257968384,-4.507441149972319,18.75617972730417,9.37474737960399,6.604803684141532,-9.066174332890114,,,,,,,,,,,,
New Zealand,12.7,4.8,-7.9,-0.62,846.8,392.9,-454.0,-0.54,294.6,90.8,-203.8,-0.69,101.2,39.0,-62.2,-0.61,0.15,0.123,5069893.0,13.87698018345672,5.6318092585118205,20.387389130025777,4.547225017214819,12.084535606860095,21.325052013300613,-3.1439256519840546,2.5336220107331884,-6.694689408815556,2.5788624691120394,,,,,,,,,,,,
Germany,19.9,6.4,-13.5,-0.68,886.7,414.9,-471.9,-0.53,280.1,147.0,-133.0,-0.48,104.4,48.6,-55.8,-0.53,0.241,0.199,83628711.0,4.433613100811952,8.713173797288368,4.132398515431425,-6.613166251044087,18.92133022242118,25.248776730955218,4.7342346257665495,8.926899544171478,15.097715016644914,-16.226393655628517,,,,,,,,,,,,
Thailand,13.5,15.9,2.4,0.18,1024.1,479.2,-544.9,-0.53,258.8,116.7,-142.0,-0.55,116.0,52.7,-63.3,-0.55,0.413,0.029,71641484.0,8.683062502067234,-3.56857436201133,9.817117220989417,9.02092458777374,4.8888642361469685,1.777113095156138,-8.565840738775893,5.928141340646615,1.8947042697303,4.812677141847814,,,,,,,,,,,,
Luxembourg,17.8,4.4,-13.4,-0.75,852.8,403.2,-449.5,-0.53,299.4,108.2,-191.1,-0.64,105.3,42.1,-63.2,-0.6,0.224,0.198,630597.0,4.512933877706032,5.747251059455279,12.166439917111123,-14.5102006226896,25.035270192069007,2.437984400640159,11.363231226052791,16.588404299738443,2.885954604900681,-0.213025862986687,,,,,,,,,,,,
Panama,4.7,2.7,-2.0,-0.43,395.5,187.1,-208.4,-0.53,97.4,41.8,-55.5,-0.57,43.0,18.9,-24.1,-0.56,0.077,0.022,4293258.0,22.822781845089377,2.472087184459999,-1.8622047188583628,0.2842020135268343,4.60097863557011,5.693653907249049,9.48195939702741,2.575245026479073,-8.04267959073196,-4.093365018682422,,,,,,,,,,,,
Costa Rica,5.5,4.2,-1.3,-0.23,495.8,235.2,-260.6,-0.53,124.2,57.8,-66.4,-0.53,53.6,24.8,-28.8,-0.54,0.129,0.046,5034323.0,5.225027752620661,-8.949702978306231,4.920924818104168,-10.870161997624566,2.812769794809604,7.06456789987025,-1.079864622993739,-2.5580554112525298,-2.824822511915104,-15.203030672667955,,,,,,,,,,,,
Myanmar,36.1,13.0,-23.1,-0.64,2163.8,1029.1,-1134.7,-0.52,689.4,220.6,-468.9,-0.68,277.4,108.8,-168.5,-0.61,0.685,0.197,53016525.0,17.162890710440994,14.457873603482836,13.995924007817948,-1.078361078021591,52.10009225836889,22.905442726728303,35.15786763290033,8.838975030322839,-0.5260271402690098,8.400001065697165,,,,,,,,,,,,
Czechia,35.6,10.7,-24.9,-0.7,1069.6,514.0,-555.6,-0.52,526.5,202.7,-323.8,-0.61,155.3,63.6,-91.7,-0.59,0.35,0.264,10550130.0,23.75544912103189,11.967845263682344,8.741760985488318,3.653986713164141,16.25156309457241,29.642045387663494,-1.3866566300234098,9.88498029036388,2.92953940076577,-3.419008396619114,,,,,,,,,,,,
Maldives,20.6,7.4,-13.2,-0.64,1418.6,685.9,-732.7,-0.52,346.4,73.3,-273.2,-0.79,176.7,56.0,-120.7,-0.68,0.444,0.06,502127.0,5.461563500289776,16.43051243175277,1.1049021614453345,-5.804133652839523,12.420387036364405,6.6305277250595065,-2.274748802098202,4.408600703257044,22.41808480142344,-10.01916835710288,,,,,,,,,,,,
Estonia,33.7,9.1,-24.6,-0.73,630.0,305.4,-324.6,-0.52,404.6,172.0,-232.6,-0.57,116.8,46.8,-70.0,-0.6,0.363,0.23,1329674.0,13.768635950047551,15.218020520349029,6.085101742589427,-1.5055554422982538,1.9537082647609625,-0.962972445384538,10.42051818559972,3.681916912038824,-10.215011429313565,-27.318622132816493,,,,,,,,,,,,
Finland,18.9,4.7,-14.2,-0.75,534.9,259.6,-275.3,-0.51,255.9,93.0,-162.9,-0.64,78.2,30.5,-47.8,-0.61,0.269,0.163,5529617.0,-11.776701238797756,-10.72669367957091,8.889982912454498,11.587928092144406,17.790099513456397,-9.21819228014527,15.944983026121545,-4.884916878067553,-13.78961397876741,0.6398509494936373,,,,,,,,,,,,
South Africa,34.8,15.3,-19.5,-0.56,638.0,310.2,-327.9,-0.51,241.2,168.3,-72.9,-0.3,101.3,54.0,-47.4,-0.47,0.34,0.065,60562374.0,-3.1518604889843047,-3.978250399151227,19.57643607795042,-3.0689186952314875,2.3907064750371685,0.7906996005808091,23.930276914578688,-2.8490091755094813,17.750703274936086,19.34251596669744,,,,,,,,,,,,
Guatemala,7.9,3.6,-4.3,-0.55,379.0,184.6,-194.4,-0.51,95.5,45.5,-50.0,-0.52,47.6,21.3,-26.3,-0.55,0.201,0.016,17357331.0,6.728612358691236,7.2803526720865985,11.97270826085207,9.421921120651415,24.687941819843648,2.8637302712620287,-1.2568426286894003,-12.535052717996937,-0.6652367715186611,17.2515921454787,,,,,,,,,,,,
Italy,13.5,5.3,-8.1,-0.6,775.1,377.9,-397.2,-0.51,269.1,91.3,-177.9,-0.66,93.2,37.0,-56.2,-0.6,0.266,0.195,59912763.0,16.704665799954107,8.837859509122088,26.191824575115564,-9.44706854657618,-6.83929407883722,23.49557863517788,17.31080833431296,20.085767431869392,-3.894727386599166,-3.4609625658627183,,,,,,,,,,,,
Switzerland,13.1,3.4,-9.7,-0.74,815.9,400.7,-415.2,-0.51,231.6,81.5,-150.1,-0.65,88.6,35.8,-52.9,-0.6,0.281,0.229,8640582.0,10.573682811899705,8.73047686306048,-3.243475628880496,7.088041779152828,30.254563682900383,0.1938870096382849,5.816915304992928,-9.932632353912853,13.057046873960765,-4.948120603617806,,,,,,,,,,,,
Japan,11.7,6.1,-5.6,-0.48,716.8,353.7,-363.1,-0.51,171.2,83.0,-88.1,-0.51,76.1,33.6,-42.6,-0.56,0.301,0.1,126304536.0,6.453517176117594,41.88731490654721,12.52820636720678,16.095686206579003,13.525174672026184,7.277879516388985,3.600727000591804,-4.577051977959073,-3.7731553973686416,5.695742560750237,,,,,,,,,,,,
South Korea,18.2,5.6,-12.7,-0.7,1055.3,521.4,-533.9,-0.51,276.0,68.2,-207.8,-0.75,129.7,43.9,-85.9,-0.66,0.357,0.059,51858480.0,9.958963044107112,10.09890510693167,8.318420057383516,-22.52144500127289,18.48786888129608,6.420771039272479,17.915599374866723,-4.111072655691974,22.15109713546936,-8.666854391882914,,,,,,,,,,,,
Jordan,12.5,8.6,-3.9,-0.31,843.9,421.0,-422.9,-0.5,257.2,109.6,-147.6,-0.57,108.8,52.7,-56.1,-0.52,0.568,0.128,10865231.0,-3.905219903674274,16.62565640180599,27.338029332176724,-5.333952554704768,10.870809131910503,19.78893273448084,14.139228784134197,12.638243769444411,10.04325871339269,4.59891899819466,,,,,,,,,,,,
Netherlands,15.8,4.6,-11.3,-0.71,1178.9,595.6,-583.3,-0.49,332.1,120.9,-211.2,-0.64,127.7,55.2,-72.6,-0.57,0.244,0.199,17636732.0,5.571557916052915,15.060017634932024,-1.6979828535515145,8.530721271805401,23.14636114352071,33.54932425873621,-6.824921569842493,0.9145032170797228,-1.0481140814570264,9.316802783846905,,,,,,,,,,,,
Poland,42.1,12.1,-30.0,-0.71,958.1,496.6,-461.4,-0.48,544.7,264.7,-279.9,-0.51,161.7,71.3,-90.5,-0.56,0.279,0.201,38171005.0,11.563612290402125,13.64391251305798,-0.3122184218077617,1.534546139570073,23.87865297575152,5.386312270796792,26.08440349725896,17.46842072673734,26.42408213265504,14.408332238843077,,,,,,,,,,,,
Croatia,29.8,12.0,-17.9,-0.6,1460.7,762.0,-698.7,-0.48,398.8,225.8,-173.1,-0.43,162.6,82.1,-80.4,-0.49,0.376,0.361,3953957.0,26.83122226218916,5.057307553596543,2.1360735455597792,7.816458733713087,35.42301882016521,7.420605574817778,25.18291354147452,-0.9879062424386847,-1.179149230033385,1.4614592352004718,,,,,,,,,,,,
Andorra,11.5,7.4,-4.1,-0.35,793.7,415.4,-378.3,-0.48,239.5,99.7,-139.8,-0.58,91.5,42.0,-49.5,-0.54,0.353,0.283,77398.0,12.586182895684615,11.789692204932674,-16.66395724309807,-3.939851867158205,14.867276486620396,16.74160877069072,0.1493729849047058,5.72994162223802,10.16595372009307,-0.7767375017696587,,,,,,,,,,,,
Bulgaria,52.4,37.5,-14.8,-0.28,781.3,410.0,-371.3,-0.48,489.4,355.9,-133.5,-0.27,149.1,91.3,-57.9,-0.39,0.409,0.371,6933654.0,-2.7204015536273403,1.4017478546242828,2.19744978319239,5.430897874728999,23.86801761461877,20.51391489626312,14.395035334374093,-1.9624705325975729,7.465925804064919,-6.040825867565611,,,,,,,,,,,,
Mauritius,20.3,15.7,-4.6,-0.23,777.3,410.4,-366.8,-0.47,334.6,147.7,-187.0,-0.56,113.0,55.0,-58.0,-0.51,0.373,0.03,1283230.0,14.540839693947952,3.131813932599912,-1.94132661553698,1.1932276460792053,13.31387787786144,26.717073257360337,12.85030186282739,25.301491277733884,16.40741289398798,-6.6188035403986,,,,,,,,,,,,
Sierra Leone,11.6,6.5,-5.1,-0.44,308.6,163.0,-145.6,-0.47,164.4,100.4,-64.1,-0.39,53.3,31.0,-22.3,-0.42,0.205,0.064,7912558.0,1.4791771958368347,-1.7536354782910348,4.168937864762077,13.227820616598072,7.425543762789324,10.489281853259635,6.337737658239071,-9.705984190295128,17.214111967268526,-1.3347889190152675,,,,,,,,,,,,
Turkey,25.6,12.3,-13.3,-0.52,1188.8,630.6,-558.3,-0.47,451.3,207.0,-244.3,-0.54,160.8,76.8,-84.0,-0.52,0.421,0.192,86091691.0,9.310779996940417,8.498741393863225,11.457559757771596,6.384208433012131,27.1980176889206,7.927079092129404,5.752948461545801,8.474207102270276,5.144041490657666,5.977655068161781,,,,,,,,,,,,
Sweden,10.6,2.5,-8.1,-0.76,767.8,409.7,-358.1,-0.47,210.7,77.4,-133.3,-0.63,80.0,35.9,-44.2,-0.55,0.298,0.182,10353680.0,14.11676288840868,26.736585666735085,22.761708392158862,5.171026620752022,-5.101683926566256,11.291548306923094,-1.1162336793805148,8.850768809320986,-5.134178703461835,10.212846262332494,,,,,,,,,,,,
Oman,9.4,4.5,-4.9,-0.52,446.9,239.1,-207.8,-0.47,172.4,61.0,-111.4,-0.65,62.3,28.8,-33.4,-0.54,0.155,0.004,4522503.0,16.53999522495951,-15.79265192591748,12.619238381860503,-2.678769661224673,-4.136854221057131,15.40703580582908,4.105459290085548,6.153990974514983,6.468721429391164,-7.167789506803449,,,,,,,,,,,,
Hungary,54.7,16.3,-38.4,-0.7,866.5,464.9,-401.6,-0.46,524.3,331.4,-192.8,-0.37,154.8,82.4,-72.4,-0.47,0.358,0.278,9749460.0,24.79280119116199,15.102601903745136,1.97096344337597,-0.7560622407249351,30.65264094022715,20.564821811973644,22.563290192593648,3.915123411222918,-2.133153697521061,17.398885689595218,,,,,,,,,,,,
Nigeria,3.8,1.8,-2.0,-0.52,128.4,70.2,-58.2,-0.45,57.3,28.3,-29.1,-0.51,20.7,10.6,-10.1,-0.49,0.069,0.005,213996186.0,-6.322175232226385,-15.067158711896516,-7.949146713483579,-3.795581878196209,4.813654381279418,6.6627403110729775,6.885001545944324,-0.5562069973342616,20.75487247526623,-2.393236010425688,,,,,,,,,,,,
Slovakia,33.5,12.9,-20.6,-0.61,798.7,436.9,-361.8,-0.45,453.7,217.2,-236.4,-0.52,132.6,62.7,-70.0,-0.53,0.374,0.256,5455028.0,10.167876241487852,1.5506813421056655,11.549191715065056,7.079521423782969,18.050166636473207,20.071746895891536,5.575856679138941,4.827114719791096,5.343353310827374,1.6673270565156384,,,,,,,,,,,,
Togo,9.9,7.7,-2.2,-0.22,508.7,280.9,-227.8,-0.45,208.9,145.2,-63.7,-0.3,75.0,47.2,-27.8,-0.37,0.123,0.012,8669722.0,10.81263431403564,15.60950596967366,-9.452332070206422,-1.8498448082026293,11.434339330653932,18.77295590445673,12.966987106483447,1.8339799837151145,-1.4032155131210868,-6.0561167914782335,,,,,,,,,,,,
Romania,33.6,24.5,-9.1,-0.27,684.6,379.6,-305.0,-0.45,355.7,273.1,-82.6,-0.23,116.8,73.2,-43.6,-0.37,0.359,0.2,19392469.0,21.43545127122359,7.962800190954628,24.154587658543537,6.557748568964129,20.99581705361671,24.80158991037527,-20.30942620630076,14.762791167949098,5.350803058649085,-22.04640260272941,,,,,,,,,,,,
Botswana,25.7,13.4,-12.3,-0.48,1013.2,562.3,-450.9,-0.45,387.3,171.2,-216.0,-0.56,143.8,69.0,-74.9,-0.52,0.304,0.083,2365895.0,9.588257621547104,-3.877447779293061,18.98440120721287,24.20400798645439,16.172403196906387,16.837098875896427,21.553657003721035,26.93523001591351,-9.157262895296965,10.910453963610497,,,,,,,,,,,,
Cyprus,10.9,6.9,-4.0,-0.37,861.4,478.9,-382.6,-0.44,243.1,123.9,-119.2,-0.49,121.4,52.3,-69.2,-0.57,0.47,0.232,1302250.0,10.28341023336183,-1.9230370925996816,1.3782434789529523,11.326247034316925,10.426952745976871,6.173819196831455,-8.899137787780994,-1.913917850078336,-6.074140385106515,8.937438970924333,,,,,,,,,,,,
Latvia,37.7,17.9,-19.8,-0.53,630.6,350.9,-279.7,-0.44,420.1,241.0,-179.1,-0.43,121.0,63.8,-57.2,-0.47,0.503,0.237,1901119.0,1.0366502599397194,13.175977489346758,-11.081345290908777,-0.0702353216784112,20.10845255097681,11.037136864333227,4.845590585968679,-9.232029795790776,15.634139079444251,-0.8992755711821341,,,,,,,,,,,,
Slovenia,19.0,6.9,-12.2,-0.64,481.5,268.5,-212.9,-0.44,296.4,139.3,-157.1,-0.53,83.4,38.6,-44.8,-0.54,0.244,0.196,2102419.0,-3.6220662408067055,-3.443666317171366,17.70872374165413,13.942139221639447,2.72627222384968,17.855089665083568,-5.358698946261438,1.819179516487452,-4.066942789713957,1.827907172248719,,,,,,,,,,,,
Lithuania,32.8,18.3,-14.6,-0.44,754.4,421.3,-333.1,-0.44,346.5,219.4,-127.1,-0.37,115.0,65.0,-50.0,-0.44,0.421,0.218,2795766.0,19.62525822394198,8.664585895819748,4.6046015474738216,-0.8307537302155144,21.33252755714472,1.5806432901276397,-4.896814757209057,30.347093376543185,-7.019109826819397,7.109392177040995,,,,,,,,,,,,
Comoros,11.4,6.8,-4.6,-0.4,612.5,345.1,-267.4,-0.44,183.4,79.6,-103.7,-0.57,77.3,39.4,-37.8,-0.49,0.295,0.111,802172.0,21.29240028570823,4.395718399038138,16.243163119734618,-18.41124535177854,-5.430836042378406,9.59673308872901,17.019267873785196,-5.278745679697308,7.685527525272861,-14.443458568865426,,,,,,,,,,,,
Bolivia,9.6,3.5,-6.1,-0.64,415.6,236.0,-179.6,-0.43,175.1,76.2,-98.9,-0.56,60.1,29.1,-31.0,-0.52,0.205,0.048,11816300.0,5.289898784196662,-3.606003476058171,-12.93927658794367,-8.625863109174041,19.30655637325644,0.4316118767263934,-0.4700120131189127,18.428168054440675,13.66004154662997,-4.417526773462948,,,,,,,,,,,,
Guyana,15.9,11.6,-4.3,-0.27,385.7,221.7,-164.0,-0.43,210.8,114.9,-95.9,-0.45,67.9,38.0,-29.9,-0.44,0.217,0.024,807487.0,16.82532897892024,25.239440893253256,-2.5987502295377283,-16.807919210258557,14.910974824130433,5.987448229348175,8.218038817307159,19.43700814076441,9.226533106650669,9.082646796218272,,,,,,,,,,,,
United States,18.0,7.8,-10.2,-0.57,881.7,513.2,-368.5,-0.42,370.6,160.9,-209.7,-0.57,116.3,57.6,-58.8,-0.51,0.284,0.175,339436157.0,15.246360250476345,12.099190223180113,5.867436997181832,-0.6351348404130861,20.00529734313876,21.424518626072988,7.67179421120816,-1.5038824170799447,13.449476858058162,-10.814894231692492,,,,,,,,,,,,
Gambia,13.8,7.7,-6.1,-0.44,388.3,226.4,-161.8,-0.42,202.2,108.6,-93.5,-0.46,67.1,37.2,-29.9,-0.45,0.214,0.008,2515744.0,0.258802453948757,-16.531425866576072,3.8248059376474206,2.044183791895517,19.89190983945514,7.490990680199033,9.467408272231214,8.293830791852754,-5.554950885694607,4.051579321666293,,,,,,,,,,,,
